update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer
1,0,54,88.574,backward,80.969,0.3175,0.5192,0.0005
1,1,194,-18.159,off_track,74.122,0.5040,0.0879,0.0044
1,2,136,8.111,off_track,80.954,0.4760,0.1336,-0.0125
2,3,131,-417.856,off_track,29.635,0.5711,0.2978,-0.0097
2,4,252,189.755,off_track,71.502,0.4092,0.0832,-0.0120
2,5,253,-5.762,off_track,71.739,0.5179,0.0698,0.0005
2,6,339,389.603,off_track,65.881,0.3404,0.0687,0.0123
3,7,595,-88.757,off_track,46.368,0.3587,0.0609,-0.0025
4,8,295,-353.697,off_track,30.898,0.4120,0.1995,-0.0114
4,9,396,302.364,off_track,61.861,0.3712,0.0818,-0.0119
4,10,251,106.563,off_track,70.151,0.4416,0.0845,-0.0090
5,11,613,-12.361,off_track,45.866,0.3689,0.1105,-0.0058
5,12,148,29.644,off_track,79.921,0.4719,0.1226,-0.0075
5,13,224,171.837,off_track,73.855,0.4106,0.0941,-0.0143
6,14,295,-132.310,off_track,59.762,0.5407,0.0688,-0.0058
6,15,176,67.661,off_track,76.962,0.4394,0.1095,-0.0186
6,16,143,-3.619,off_track,79.950,0.4857,0.1301,-0.0246
6,17,337,306.726,off_track,64.711,0.3653,0.0758,-0.0102
7,18,89,-148.541,off_track,71.055,0.7185,0.1721,-0.0314
7,19,155,-3.917,off_track,77.536,0.4923,0.1208,-0.0156
7,20,230,236.490,off_track,71.122,0.3588,0.0966,-0.0124
7,21,183,34.378,off_track,75.060,0.4719,0.1058,-0.0071
7,22,192,28.814,off_track,74.332,0.4741,0.0970,-0.0077
7,23,174,37.319,off_track,75.174,0.4488,0.1130,-0.0196
8,24,187,6.423,off_track,75.287,0.4747,0.1002,-0.0066
8,25,426,347.247,off_track,59.820,0.3386,0.0654,-0.0101
8,26,214,139.668,off_track,71.634,0.4073,0.1009,-0.0122
9,27,552,-343.497,off_track,35.362,0.2580,0.0812,-0.0063
9,28,207,47.957,off_track,73.216,0.4554,0.0937,-0.0103
9,29,200,130.255,off_track,72.956,0.3982,0.1050,-0.0145
10,30,725,5.727,off_track,38.492,0.2091,0.0621,-0.0035
11,31,902,363.274,off_track,40.327,0.2938,0.0900,-0.0008
12,32,59,-173.752,off_track,66.752,0.9156,0.1600,-0.0117
12,33,741,-497.184,off_track,44.987,0.4731,0.0469,0.0007
13,34,690,-1451.445,off_track,31.080,0.7505,0.1316,-0.0097
14,35,524,-1179.407,off_track,31.098,0.7816,0.1598,-0.0081
14,36,283,3.977,off_track,67.631,0.4917,0.0697,-0.0031
15,37,527,-690.963,off_track,34.132,0.4536,0.0613,0.0061
15,38,185,88.068,off_track,76.105,0.4443,0.1077,-0.0075
15,39,184,78.070,off_track,76.482,0.4563,0.1013,-0.0061
16,40,498,-1066.590,off_track,42.152,0.7596,0.0337,0.0043
17,41,229,-773.663,off_track,30.544,0.7598,0.0925,0.0195
17,42,195,-4.177,off_track,74.500,0.5097,0.0917,-0.0042
17,43,202,17.241,off_track,74.012,0.4815,0.0844,0.0026
17,44,362,25.105,off_track,64.799,0.5126,0.0533,0.0036
18,45,110,-119.279,off_track,73.744,0.6086,0.1456,0.0058
18,46,625,-489.539,off_track,51.887,0.5676,0.0446,0.0059
19,47,438,-723.803,off_track,35.205,0.4728,0.0837,0.0093
19,48,171,42.889,off_track,76.612,0.4671,0.1121,-0.0091
19,49,290,-125.601,off_track,67.558,0.5717,0.0597,0.0042
20,50,655,-919.400,off_track,39.230,0.5272,0.0754,0.0144
22,51,134,-510.682,off_track,30.191,0.9617,0.0256,0.0103
22,52,716,-951.965,off_track,49.268,0.5784,0.0823,0.0076
23,53,16,-96.953,off_track,62.388,1.0951,0.1183,-0.0053
23,54,769,-533.333,off_track,47.292,0.4433,0.0848,0.0079
24,55,666,-913.033,off_track,33.200,0.4301,0.0932,0.0180
25,56,423,-769.059,off_track,34.452,0.4704,0.1107,0.0172
26,57,200,-443.058,off_track,29.467,0.4506,0.2150,0.0167
26,58,729,-724.123,off_track,51.492,0.5069,0.0952,0.0134
27,59,757,-880.069,off_track,39.846,0.4633,0.0827,0.0183
28,60,449,-815.887,off_track,34.333,0.5322,0.0998,-0.0050
29,61,155,-368.068,off_track,28.599,0.4612,0.3525,-0.0098
29,62,384,307.617,off_track,66.139,0.4140,0.0538,0.0061
30,63,16,-92.804,off_track,29.636,1.0317,0.0880,-0.0101
30,64,271,126.587,off_track,69.690,0.4368,0.0745,-0.0095
30,65,360,204.664,off_track,67.388,0.4960,0.0459,0.0070
30,66,222,-42.103,off_track,74.367,0.6277,0.0584,0.0087
31,67,810,-525.583,off_track,45.779,0.6048,0.1057,0.0057
