update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer,crash_s
1,0,66,49.519,off_track,112.697,0.4508,0.2128,-0.0049,59.7
2,1,253,472.623,low_progress,108.749,0.3684,0.2011,0.0015,
3,2,169,98.782,off_track,73.935,0.6093,0.0650,0.0025,566.8
4,3,83,8.713,off_track,81.815,0.7110,0.1322,0.0081,565.1
5,4,284,381.409,low_progress,106.620,0.4027,0.1601,-0.0029,
6,5,74,-17.091,low_progress,52.011,0.2725,0.2914,0.0072,
7,6,270,563.536,low_progress,103.255,0.2886,0.2334,-0.0056,
8,7,185,77.985,off_track,72.152,0.5649,0.0990,0.0059,566.5
9,8,93,23.906,off_track,80.968,0.7084,0.1187,0.0095,566.2
10,9,88,-137.837,off_track,95.890,0.8459,0.1960,-0.0067,618.3
13,10,355,1231.718,off_track,126.610,0.2087,0.1289,0.0035,1507.9
15,11,264,-41.206,off_track,87.924,0.4751,0.3200,0.0080,1175.2
17,12,690,1860.104,low_progress,111.632,0.2439,0.1685,0.0223,
18,13,390,523.649,low_progress,87.902,0.2459,0.2141,0.0158,
19,14,181,24.510,low_progress,58.398,0.2986,0.1820,0.0089,
